['388匹配结果:0.46486559510231', '390匹配结果:0.95406448841095', '390匹配成功置信度：0.95406448841095']
['394匹配结果:0.737964391708374', '396匹配结果:0.953159809112549', '395匹配成功置信度：0.957942843437195']
['350匹配结果:0.469005823135376', '352匹配结果:0.949293494224548', '351匹配成功置信度：0.918521761894226']
['390匹配结果:0.823222756385803', '392匹配结果:0.952193439006805', '391匹配成功置信度：0.954932749271393']
['346匹配结果:0.473272502422333', '348匹配结果:0.956230640411377', '348匹配成功置信度：0.956230640411377']
['394匹配结果:0.817647397518158', '396匹配结果:0.951313138008118', '395匹配成功置信度：0.955295324325562']
['378匹配结果:0.796761333942413', '380匹配结果:0.956189572811127', '379匹配成功置信度：0.957103490829468']
['378匹配结果:0.466954231262207', '380匹配结果:0.895044028759003', '380匹配成功置信度：0.895044028759003']
['382匹配结果:0.470333337783813', '384匹配结果:0.949504554271698', '384匹配成功置信度：0.949504554271698']
['394匹配结果:0.468674719333649', '396匹配结果:0.953792333602905', '396匹配成功置信度：0.953792333602905']
['388匹配结果:0.469745934009552', '390匹配结果:0.94807380437851', '389匹配成功置信度：0.897641062736511']
['378匹配结果:0.448825865983963', '380匹配结果:0.955468773841858', '379匹配成功置信度：0.950396418571472']
['376匹配结果:0.469941765069962', '378匹配结果:0.946721315383911', '377匹配成功置信度：0.917496860027313']
['384匹配结果:0.630777418613434', '386匹配结果:0.946154892444611', '385匹配成功置信度：0.946901977062225']
['376匹配结果:0.474589943885803', '378匹配结果:0.946327328681946', '378匹配成功置信度：0.946327328681946']
['348匹配结果:0.466080725193024', '350匹配结果:0.944114983081818', '350匹配成功置信度：0.944114983081818']
['568匹配结果:0.644167184829712', '570匹配结果:0.950056850910187', '569匹配成功置信度：0.9490025639534']
['384匹配结果:0.455707609653473', '386匹配结果:0.944847345352173', '385匹配成功置信度：0.949419498443604']
['382匹配结果:0.467501491308212', '384匹配结果:0.947380661964417', '383匹配成功置信度：0.941301465034485']
['354匹配结果:0.462802678346634', '356匹配结果:0.899375259876251', '356匹配成功置信度：0.899375259876251']
['374匹配结果:0.46699646115303', '376匹配结果:0.948289930820465', '376匹配成功置信度：0.948289930820465']
['382匹配结果:0.454210251569748', '384匹配结果:0.94397109746933', '383匹配成功置信度：0.939585387706757']
['356匹配结果:0.472801148891449', '358匹配结果:0.943331122398376', '358匹配成功置信度：0.943331122398376']
['388匹配结果:0.469604164361954', '390匹配结果:0.851211130619049', '392匹配结果:0.943038761615753']
['392匹配结果:0.943038761615753', '391匹配成功置信度：0.944831371307373', '0匹配结果:0.380693316459656']
['396匹配结果:0.466218650341034', '398匹配结果:0.940987765789032', '397匹配成功置信度：0.922670245170593']
['366匹配结果:0.466904670000076', '368匹配结果:0.930617213249207', '368匹配成功置信度：0.930617213249207']
['364匹配结果:0.469150424003601', '366匹配结果:0.937430202960968', '366匹配成功置信度：0.937430202960968']
['390匹配结果:0.464838594198227', '392匹配结果:0.943924844264984', '391匹配成功置信度：0.921021640300751']
['382匹配结果:0.467639476060867', '384匹配结果:0.944616615772247', '384匹配成功置信度：0.944616615772247']
['376匹配结果:0.473100811243057', '378匹配结果:0.936902642250061', '378匹配成功置信度：0.936902642250061']
['420匹配结果:0.458015292882919', '422匹配结果:0.941727101802826', '421匹配成功置信度：0.937289178371429']
['388匹配结果:0.471605867147446', '390匹配结果:0.9380122423172', '389匹配成功置信度：0.935660421848297']
['412匹配结果:0.468926519155502', '414匹配结果:0.937593162059784', '413匹配成功置信度：0.935914576053619']
['346匹配结果:0.461315870285034', '348匹配结果:0.930242359638214', '348匹配成功置信度：0.930242359638214']
['360匹配结果:0.561739981174469', '362匹配结果:0.939839780330658', '361匹配成功置信度：0.93774950504303']
['356匹配结果:0.444246143102646', '358匹配结果:0.933148980140686', '357匹配成功置信度：0.940437495708466']
['384匹配结果:0.456282258033752', '386匹配结果:0.939340174198151', '385匹配成功置信度：0.940275013446808']
['382匹配结果:0.465188086032867', '384匹配结果:0.943060159683228', '383匹配成功置信度：0.878696441650391']
['342匹配结果:0.466277092695236', '344匹配结果:0.940613150596619', '344匹配成功置信度：0.940613150596619']
['366匹配结果:0.468787461519241', '368匹配结果:0.933421611785889', '368匹配成功置信度：0.933421611785889']
['356匹配结果:0.578101575374603', '358匹配结果:0.931471049785614', '357匹配成功置信度：0.934298276901245']
['382匹配结果:0.447583377361298', '384匹配结果:0.940345227718353', '383匹配成功置信度：0.935801982879639']
